node_id,node_type,x_coord,y_coord,demand_pallets,service_time_min,time_window_start,time_window_end,demand_class,vehicle_count,vehicle_capacity_pallets
0,depot,50.0,50.0,0,0,06:30,17:00,depot,5,33
1,customer,79.75,57.65,3,16,08:00,12:00,low,5,33
2,customer,23.25,56.82,4,18,08:00,12:00,medium,5,33
3,customer,21.9,22.47,5,20,08:00,12:00,high,5,33
4,customer,69.38,84.17,3,16,08:00,12:00,low,5,33
5,customer,68.21,81.81,5,20,08:00,12:00,high,5,33
6,customer,45.69,62.63,4,18,08:00,12:00,medium,5,33
7,customer,84.8,38.57,5,20,08:00,12:00,high,5,33
8,customer,20.1,19.73,3,16,08:00,12:00,low,5,33
9,customer,76.55,69.06,4,18,08:00,12:00,medium,5,33
10,customer,34.39,75.4,3,16,08:00,12:00,low,5,33
11,customer,51.9,42.34,4,18,08:00,12:00,medium,5,33
12,customer,49.28,44.08,4,18,08:00,12:00,medium,5,33
13,customer,16.58,52.44,3,16,08:00,12:00,low,5,33
14,customer,30.35,52.79,3,16,08:00,12:00,low,5,33
15,customer,74.43,24.41,5,20,08:00,12:00,high,5,33
16,customer,22.52,60.61,3,16,08:00,12:00,low,5,33
17,customer,55.63,55.97,4,18,08:00,12:00,medium,5,33
18,customer,67.89,69.35,5,20,08:00,12:00,high,5,33
19,customer,71.13,18.6,3,16,08:00,12:00,low,5,33
20,customer,43.2,10.06,5,20,08:00,12:00,high,5,33
21,customer,25.81,68.2,5,20,08:00,12:00,high,5,33
22,customer,40.95,62.16,3,16,08:00,12:00,low,5,33
23,customer,27.36,10.18,4,18,08:00,12:00,medium,5,33
24,customer,86.95,42.64,5,20,08:00,12:00,high,5,33
25,customer,55.92,52.96,5,20,08:00,12:00,high,5,33
26,customer,69.2,31.4,4,18,08:00,12:00,medium,5,33
27,customer,50.72,58.09,3,16,08:00,12:00,low,5,33
28,customer,61.1,58.17,5,20,08:00,12:00,high,5,33
29,customer,44.27,51.5,4,18,08:00,12:00,medium,5,33
30,customer,22.04,42.12,4,18,08:00,12:00,medium,5,33
31,customer,66.33,52.92,3,16,08:00,12:00,low,5,33
32,customer,30.46,49.19,4,18,08:00,12:00,medium,5,33
33,customer,18.48,55.79,4,18,08:00,12:00,medium,5,33
34,customer,41.32,9.35,5,20,08:00,12:00,high,5,33
35,customer,22.69,51.83,5,20,08:00,12:00,high,5,33
36,customer,77.9,64.02,4,18,08:00,12:00,medium,5,33
37,customer,42.95,48.58,3,16,08:00,12:00,low,5,33
38,customer,82.0,29.88,5,20,08:00,12:00,high,5,33
39,customer,57.5,12.02,5,20,08:00,12:00,high,5,33
40,customer,43.14,54.84,5,20,08:00,12:00,high,5,33
